session_id,fan_id,match_id,session_seconds,pages_viewed,device,converted_to_purchase,timestamp
S000001,F05202,M029,111,"fan_zone, ticket_checkout, live_scores, highlights",mobile,False,2026-06-23
S000002,F02523,M018,36,"ticket_checkout, account, fan_zone",tablet,False,2026-06-13
S000003,F04559,M017,182,"ticket_checkout, account, team_profile, live_scores",mobile,False,2026-06-22
S000004,F00043,M017,222,"account, merch_store, highlights, home, live_scores",mobile,False,2026-06-13
S000005,F00256,M037,117,"ticket_checkout, match_schedule",mobile,False,2026-06-30
S000006,F04476,M043,279,"match_schedule, home, merch_store",tablet,False,2026-06-30
S000007,F01772,M031,71,"highlights, home",mobile,False,2026-06-18
S000008,F04207,M028,68,"merch_store, match_schedule, team_profile, highlights",mobile,False,2026-06-26
S000009,F03646,M005,61,"home, match_schedule, merch_store",mobile,False,2026-06-15
S000010,F04483,M008,149,home,mobile,False,2026-06-05
S000011,F04643,M030,99,"team_profile, home, match_schedule",mobile,False,2026-06-26
S000012,F04198,M017,43,ticket_checkout,tablet,False,2026-06-21
S000013,F00756,M018,20,"account, match_schedule, team_profile",tablet,False,2026-06-13
S000014,F04606,M004,65,"match_schedule, highlights, ticket_checkout, fan_zone",desktop,False,2026-06-10
S000015,F02671,M037,9,"match_schedule, merch_store, account, ticket_checkout",mobile,False,2026-06-22
S000016,F04237,M024,481,"match_schedule, fan_zone, merch_store",mobile,False,2026-06-25
S000017,F00314,M043,632,team_profile,mobile,False,2026-06-28
S000018,F00488,M020,149,"merch_store, fan_zone, account",mobile,False,2026-06-11
S000019,F00663,M039,181,"team_profile, account",mobile,False,2026-06-24
S000020,F04911,M048,134,"merch_store, home",mobile,False,2026-07-06
S000021,F00994,M047,312,"account, ticket_checkout, match_schedule",tablet,True,2026-06-25
S000022,F00334,M021,281,"team_profile, fan_zone, home, ticket_checkout",mobile,False,2026-06-13
S000023,F01046,M016,451,match_schedule,mobile,False,2026-06-09
S000024,F05799,M037,112,"highlights, match_schedule, ticket_checkout, fan_zone",desktop,False,2026-06-28
S000025,F05180,M023,159,"highlights, account",mobile,False,2026-06-21
S000026,F02124,M005,19,"ticket_checkout, account, home, team_profile, match_schedule",desktop,False,2026-06-15
S000027,F02323,M001,12,"account, highlights, team_profile, ticket_checkout, merch_store",mobile,False,2026-06-15
S000028,F00581,M008,65,"merch_store, highlights, live_scores",mobile,False,2026-06-11
S000029,F01591,M013,521,"live_scores, fan_zone, highlights, match_schedule",mobile,False,2026-06-08
S000030,F03870,M026,57,match_schedule,desktop,True,2026-06-26
S000031,F04506,M022,5,"merch_store, live_scores, ticket_checkout",mobile,False,2026-06-22
S000032,F02764,M046,70,"match_schedule, merch_store, home, account",mobile,False,2026-06-26
S000033,F01378,M007,314,"merch_store, highlights, live_scores",mobile,False,2026-06-18
S000034,F02569,M023,103,"live_scores, account, home, team_profile, ticket_checkout",desktop,False,2026-06-14
S000035,F01939,M016,65,highlights,tablet,False,2026-06-15
S000036,F02464,M014,34,"highlights, ticket_checkout, merch_store, fan_zone, team_profile",mobile,False,2026-06-15
S000037,F05145,M002,24,ticket_checkout,mobile,False,2026-06-12
S000038,F00577,M014,401,"home, ticket_checkout, team_profile, highlights, match_schedule",mobile,False,2026-06-20
S000039,F01598,M018,29,"fan_zone, team_profile, live_scores, home, highlights",mobile,False,2026-06-17
S000040,F00594,M048,193,"team_profile, account, match_schedule",desktop,False,2026-07-03
S000041,F05835,M034,87,"match_schedule, team_profile",mobile,False,2026-07-01
S000042,F05489,M047,5,"merch_store, live_scores, home, team_profile, fan_zone",mobile,False,2026-06-27
S000043,F04758,M043,262,"home, ticket_checkout, live_scores",desktop,False,2026-07-02
S000044,F02335,M043,38,"account, merch_store, team_profile, ticket_checkout",tablet,False,2026-07-06
S000045,F04313,M038,961,"team_profile, account",desktop,True,2026-07-03
S000046,F05651,M028,10,ticket_checkout,mobile,False,2026-06-25
S000047,F03895,M022,123,"highlights, ticket_checkout, home, fan_zone, merch_store",desktop,False,2026-06-20
S000048,F03905,M022,189,"live_scores, home, account, fan_zone",mobile,True,2026-06-21
S000049,F02073,M020,280,"fan_zone, match_schedule, live_scores",mobile,False,2026-06-22
S000050,F05298,M039,226,"live_scores, ticket_checkout, match_schedule",mobile,False,2026-06-22
S000051,F00599,M043,349,"ticket_checkout, match_schedule, live_scores",desktop,False,2026-06-27
S000052,F03523,M030,17,"account, team_profile, match_schedule, home",desktop,False,2026-06-23
S000053,F03570,M033,214,"home, highlights",mobile,False,2026-06-29
S000054,F02363,M033,28,"ticket_checkout, home",mobile,False,2026-06-27
S000055,F02274,M021,52,"team_profile, fan_zone",mobile,False,2026-06-21
S000056,F03487,M030,357,"account, merch_store, match_schedule, fan_zone",mobile,False,2026-06-25
S000057,F01507,M044,259,"team_profile, live_scores, ticket_checkout",mobile,False,2026-06-26
S000058,F05796,M032,175,"highlights, ticket_checkout",mobile,False,2026-06-23
S000059,F05441,M015,19,account,mobile,False,2026-06-16
S000060,F01371,M020,333,live_scores,mobile,False,2026-06-19
S000061,F03428,M028,71,"merch_store, account, ticket_checkout, fan_zone, team_profile",desktop,False,2026-06-15
S000062,F05707,M031,365,"match_schedule, merch_store, highlights",mobile,False,2026-06-27
S000063,F02062,M020,44,"ticket_checkout, home, highlights, team_profile, match_schedule",desktop,False,2026-06-15
S000064,F05778,M045,169,"team_profile, highlights",desktop,False,2026-06-24
S000065,F03254,M039,38,"ticket_checkout, highlights, team_profile, account",mobile,False,2026-06-25
S000066,F00873,M045,270,"account, merch_store, highlights, fan_zone",mobile,False,2026-07-07
S000067,F03433,M038,48,"live_scores, home, team_profile, highlights",desktop,False,2026-06-24
S000068,F05696,M048,20,"highlights, account, team_profile, home",mobile,False,2026-06-29
