fan_id,age,gender,city,lat,lon,favorite_team,true_segment,years_following_fifa,app_installed,loyalty_points
F00001,16,F,Bengaluru,13.01412146941207,77.62618803311183,England,casual,11,True,26
F00002,21,M,Mumbai,19.048557961623864,72.91616114422546,Germany,casual,0,True,5
F00003,30,M,Bengaluru,12.973541333551147,77.6188399530945,Portugal,casual,3,True,158
F00004,17,M,Ahmedabad,22.97128216495106,72.59955443919266,Croatia,dormant,2,False,7
F00005,35,F,Chennai,13.110015264839175,80.31321290997806,Portugal,local_loyalist,8,True,68
F00006,24,F,Mumbai,19.060500109858754,72.91315444071066,France,digital_only,10,True,35
F00007,27,M,Ahmedabad,23.03704466652825,72.54888394144774,England,digital_only,10,True,44
F00008,17,M,Mumbai,19.04267586174005,72.9131490386919,Portugal,dormant,0,False,76
F00009,29,Other,Bengaluru,12.982914683397032,77.57702930664414,Italy,casual,3,True,103
F00010,29,M,Pune,18.487965121795533,73.85780721020123,Germany,local_loyalist,3,False,34
F00011,21,M,Kolkata,22.567828366751105,88.32806366979413,Germany,digital_only,14,True,60
F00012,22,M,Kolkata,22.614319584969344,88.40317314247538,Germany,local_loyalist,11,True,22
F00013,48,M,Ahmedabad,23.05348994283644,72.59558863795678,Spain,superfan,6,True,23
F00014,16,M,Ahmedabad,23.034336972506974,72.5462510290483,France,family,5,True,13
F00015,24,M,Bengaluru,12.925821751207534,77.63270041601014,Japan,dormant,14,False,23
F00016,35,M,Chennai,13.123441079457121,80.22484642324758,Portugal,digital_only,6,True,41
F00017,47,M,Chennai,13.102198314695164,80.30618751490158,England,local_loyalist,11,True,35
F00018,16,M,Mumbai,19.051003402401246,72.90119677423908,Belgium,dormant,6,False,55
F00019,27,M,Chennai,13.101089433046054,80.31733665661523,USA,local_loyalist,6,True,13
F00020,27,M,Delhi,28.614076563130055,77.21773006863357,Morocco,casual,7,True,156
F00021,44,F,Delhi,28.60143270140202,77.16123860493222,Japan,digital_only,4,True,43
F00022,39,F,Hyderabad,17.41279249545453,78.50712430740332,England,local_loyalist,0,True,10
F00023,21,M,Chennai,13.117740734539515,80.22402813067339,Germany,digital_only,14,True,23
F00024,26,M,Kolkata,22.586703685712536,88.4011576887263,Mexico,family,7,True,48
F00025,19,F,Delhi,28.598718327415593,77.18461085001644,Germany,dormant,16,False,5
F00026,22,M,Hyderabad,17.349152132205013,78.48042634607931,Croatia,dormant,4,False,13
F00027,35,F,Chennai,13.100045486542436,80.26018134586016,Germany,digital_only,3,True,65
F00028,19,M,Chennai,13.088577827093104,80.27867679078446,Netherlands,superfan,6,True,361
F00029,25,M,Mumbai,19.02179881315724,72.91327712799061,Portugal,dormant,11,True,58
F00030,38,F,Ahmedabad,23.01837968965828,72.5690449096736,Spain,family,7,True,81
F00031,16,M,Hyderabad,17.358374550996043,78.47365817217418,England,casual,14,True,29
F00032,28,M,Pune,18.50650475666926,73.84324371667165,Argentina,dormant,5,False,3
F00033,27,M,Mumbai,19.066006411674756,72.84976787585624,France,family,8,True,44
F00034,16,M,Delhi,28.65232237469852,77.21892793212258,Brazil,digital_only,12,True,22
F00035,37,M,Pune,18.56677399546591,73.83215418323978,Portugal,local_loyalist,5,False,278
F00036,27,M,Hyderabad,17.41814858195889,78.47159136542976,Brazil,casual,7,True,125
F00037,21,M,Mumbai,19.05268932630556,72.82107983923896,Croatia,superfan,10,True,24
F00038,29,M,Kolkata,22.56819949177329,88.3170460677667,USA,casual,2,True,19
F00039,31,M,Delhi,28.63639631963256,77.15050788129757,Spain,family,8,False,10
F00040,21,M,Pune,18.547467293718178,73.82648163217783,Mexico,superfan,9,False,254
F00041,29,M,Ahmedabad,23.03556294121143,72.54392588627513,Brazil,casual,12,True,85
F00042,29,M,Pune,18.528096858663158,73.87298891177035,England,casual,14,True,49
F00043,47,M,Pune,18.545623358981622,73.827592829795,Portugal,digital_only,2,False,85
F00044,41,M,Delhi,28.659168614039274,77.22704378027923,Argentina,dormant,4,True,34
F00045,27,M,Bengaluru,12.93757838158304,77.55449325271096,Spain,casual,0,True,122
F00046,40,F,Delhi,28.614176031994102,77.16310798617047,Argentina,casual,0,True,134
F00047,36,M,Mumbai,19.11150833333581,72.849334862667,USA,family,14,True,28
F00048,40,M,Delhi,28.586720989548606,77.20091133851875,England,digital_only,5,True,47
F00049,29,M,Delhi,28.614075750188736,77.246796979677,India,casual,6,True,97
F00050,27,M,Mumbai,19.074387792116113,72.8538554027437,England,digital_only,7,True,47
F00051,33,F,Pune,18.47224492484313,73.85998857880527,India,casual,4,True,87
F00052,36,F,Hyderabad,17.415339573353695,78.52143404426666,Argentina,casual,9,True,117
F00053,16,Other,Mumbai,19.112497694823503,72.89856691498778,India,digital_only,4,True,84
F00054,26,M,Hyderabad,17.426391601207317,78.49415796812434,Germany,digital_only,0,True,28
F00055,21,Other,Mumbai,19.0859034681099,72.82504555706201,Belgium,dormant,17,True,106
F00056,29,M,Kolkata,22.614842515554148,88.39424641068355,Spain,casual,0,True,4
F00057,30,F,Bengaluru,12.985318718915781,77.57490524244616,Portugal,local_loyalist,5,False,80
F00058,16,M,Bengaluru,13.011372749400646,77.6232994138553,Japan,local_loyalist,5,True,77
F00059,27,M,Mumbai,19.020539854218367,72.88685049011511,Belgium,superfan,2,False,186
F00060,34,M,Mumbai,19.068235620858275,72.89028664440501,France,local_loyalist,7,True,10
F00061,18,M,Mumbai,19.075367783353943,72.83883850093349,Argentina,casual,11,True,4
F00062,36,F,Kolkata,22.559627726249172,88.37938633423283,Spain,dormant,1,False,35
F00063,31,F,Hyderabad,17.385668205268175,78.49457592922613,Netherlands,casual,3,True,8
F00064,33,F,Kolkata,22.539710603882366,88.39753632399008,India,digital_only,4,True,30
F00065,17,M,Chennai,13.115564366414494,80.27146695240518,Italy,superfan,5,True,236
F00066,21,M,Mumbai,19.02786976751954,72.87273108956424,Portugal,dormant,9,False,44
F00067,29,F,Bengaluru,12.977976645743428,77.60189351627635,Croatia,digital_only,18,True,112
F00068,23,M,Delhi,28.641025913051728,77.20365781900287,Portugal,local_loyalist,0,True,3
F00069,18,M,Delhi,28.606904004666596,77.20044247460635,Portugal,superfan,13,True,143
F00070,16,M,Delhi,28.64251348756614,77.19852556041472,England,family,17,True,18
F00071,27,M,Kolkata,22.538801571719628,88.37531367332919,Portugal,casual,7,True,40
F00072,26,F,Pune,18.498622430723998,73.84601026265577,Netherlands,family,4,True,11
F00073,29,M,Chennai,13.03351746315316,80.31118215936367,USA,casual,14,True,29
F00074,16,M,Mumbai,19.045602117306153,72.88508279504893,Italy,casual,14,True,38
F00075,46,M,Bengaluru,12.949072230762066,77.6383731853997,Spain,superfan,5,False,77
F00076,16,M,Hyderabad,17.36734445911454,78.4683534512434,Japan,digital_only,6,True,52
F00077,19,M,Hyderabad,17.332004599953255,78.48825689092149,Germany,digital_only,13,True,96
F00078,16,M,Ahmedabad,23.019632277128437,72.56036466944934,Argentina,superfan,4,True,109
F00079,20,M,Kolkata,22.58035857876582,88.36036199379735,France,family,10,False,152
F00080,40,M,Pune,18.52568183602783,73.89463786533584,Argentina,digital_only,8,True,19
F00081,17,M,Mumbai,19.116160202557488,72.89696421638837,France,digital_only,9,True,20
F00082,35,M,Mumbai,19.070580922259232,72.87603486743504,Brazil,digital_only,4,True,21
F00083,20,M,Delhi,28.587224054250605,77.18841607579535,Morocco,digital_only,12,True,8
F00084,33,M,Bengaluru,12.960465374164855,77.57936818859906,Croatia,digital_only,12,True,3
F00085,42,M,Hyderabad,17.353842717895347,78.52418165000502,Mexico,casual,5,True,5
F00086,44,F,Mumbai,19.064959890600775,72.83886322464241,England,casual,3,True,37
F00087,16,M,Mumbai,19.0542022664248,72.90322391067085,Germany,family,14,True,66
F00088,35,F,Mumbai,19.020835470417214,72.83685990484341,Argentina,dormant,0,False,62
F00089,41,F,Ahmedabad,23.037599248975635,72.59056593338738,Germany,casual,11,True,24
