fan_id,city,favorite_team,age,segment,loyalty_points,sessions,conversion_rate
F00001,Bengaluru,England,16,Casual Followers,26,5.0,0.0
F00002,Mumbai,Germany,21,Digital Browsers,5,5.0,0.2
F00003,Bengaluru,Portugal,30,Digital Browsers,158,4.0,0.0
F00004,Ahmedabad,Croatia,17,Digital Browsers,7,5.0,0.0
F00005,Chennai,Portugal,35,Dormant / At-Risk,68,3.0,0.0
F00006,Mumbai,France,24,Digital Browsers,35,7.0,0.0
F00007,Ahmedabad,England,27,Casual Followers,44,3.0,0.3333333333333333
F00008,Mumbai,Portugal,17,Dormant / At-Risk,76,3.0,0.0
F00009,Bengaluru,Italy,29,Digital Browsers,103,5.0,0.0
F00010,Pune,Germany,29,High Engagers,34,4.0,0.25
F00011,Kolkata,Germany,21,Casual Followers,60,2.0,0.0
F00012,Kolkata,Germany,22,Casual Followers,22,3.0,0.0
F00013,Ahmedabad,Spain,48,Digital Browsers,23,7.0,0.14285714285714285
F00014,Ahmedabad,France,16,Digital Browsers,13,6.0,0.0
F00015,Bengaluru,Japan,24,Casual Followers,23,2.0,0.0
F00016,Chennai,Portugal,35,Digital Browsers,41,7.0,0.0
F00017,Chennai,England,47,Dormant / At-Risk,35,3.0,0.0
F00018,Mumbai,Belgium,16,High Engagers,55,4.0,0.25
F00019,Chennai,USA,27,Digital Browsers,13,6.0,0.0
F00020,Delhi,Morocco,27,Digital Browsers,156,7.0,0.14285714285714285
F00021,Delhi,Japan,44,Dormant / At-Risk,43,3.0,0.0
F00022,Hyderabad,England,39,Dormant / At-Risk,10,2.0,0.0
F00023,Chennai,Germany,21,Casual Followers,23,4.0,0.0
F00024,Kolkata,Mexico,26,Dormant / At-Risk,48,2.0,0.0
F00025,Delhi,Germany,19,Dormant / At-Risk,5,2.0,0.0
F00026,Hyderabad,Croatia,22,Digital Browsers,13,7.0,0.0
F00027,Chennai,Germany,35,Digital Browsers,65,4.0,0.0
F00028,Chennai,Netherlands,19,Super Fans,361,2.0,0.0
F00029,Mumbai,Portugal,25,High Engagers,58,6.0,0.3333333333333333
F00030,Ahmedabad,Spain,38,Digital Browsers,81,6.0,0.16666666666666666
F00031,Hyderabad,England,16,Digital Browsers,29,5.0,0.0
F00032,Pune,Argentina,28,Digital Browsers,3,6.0,0.0
