fan_id,segment,offer_response_probability
F03004,Super Fans,0.896
F04119,Super Fans,0.889
F00732,Super Fans,0.885
F00855,High Engagers,0.875
F03749,High Engagers,0.867
F00253,Super Fans,0.866
F02607,High Engagers,0.866
F00371,High Engagers,0.863
F00817,Super Fans,0.861
F01938,High Engagers,0.859
F05947,High Engagers,0.858
F03007,Super Fans,0.857
F05686,Super Fans,0.857
F01860,Super Fans,0.856
F04534,High Engagers,0.855
F05808,High Engagers,0.855
F01448,High Engagers,0.853
F02399,Super Fans,0.853
F02082,Super Fans,0.853
F02259,High Engagers,0.853
F04638,High Engagers,0.852
F03010,Super Fans,0.851
F01425,High Engagers,0.85
F02103,Super Fans,0.848
F05644,High Engagers,0.848
F00028,Super Fans,0.848
F02631,Super Fans,0.848
F04106,High Engagers,0.845
F04700,High Engagers,0.845
F00604,High Engagers,0.844
F02326,Super Fans,0.844
F04135,High Engagers,0.844
F03568,Super Fans,0.843
F04058,High Engagers,0.842
F03831,Super Fans,0.841
F00932,High Engagers,0.841
F04854,Super Fans,0.841
F00249,High Engagers,0.84
F05705,High Engagers,0.839
F05519,High Engagers,0.838
F00223,High Engagers,0.838
F02018,High Engagers,0.837
F04291,High Engagers,0.837
F04937,High Engagers,0.835
F04444,High Engagers,0.834
F04708,High Engagers,0.834
F02102,Super Fans,0.834
F02004,High Engagers,0.834
F04518,Super Fans,0.833
F02943,Super Fans,0.833
F04823,Super Fans,0.832
F01283,Super Fans,0.832
F02110,High Engagers,0.832
F00869,High Engagers,0.831
F03606,Super Fans,0.831
F05038,High Engagers,0.831
F04530,High Engagers,0.831
F04038,High Engagers,0.83
F05531,High Engagers,0.83
F01259,High Engagers,0.83
F03093,High Engagers,0.83
F04208,High Engagers,0.83
F01923,High Engagers,0.83
F03691,High Engagers,0.83
F05569,Super Fans,0.83
F03181,Super Fans,0.829
F00506,High Engagers,0.829
F05345,High Engagers,0.829
F02963,Super Fans,0.828
F04009,Super Fans,0.828
F05904,Super Fans,0.828
F04248,High Engagers,0.827
F04080,High Engagers,0.827
F04553,High Engagers,0.827
